Imagen,Area,Perimetro,Circularidad
img_22.jpg,8350.750000,732.000000,0.195845
img_22.jpg,8311.625000,676.000000,0.228561
img_22.jpg,8726.625000,744.000000,0.198112
img_23.jpg,11791.250000,488.000000,0.622200
img_23.jpg,9783.125000,486.000000,0.520493
img_23.jpg,8355.625000,732.000000,0.195960
img_23.jpg,16987.875000,692.000000,0.445797
img_23.jpg,14429.750000,616.000000,0.477867
img_23.jpg,11789.625000,490.000000,0.617046
img_23.jpg,14422.500000,614.000000,0.480744
img_23.jpg,16981.500000,686.000000,0.453459
img_23.jpg,14474.000000,604.000000,0.498568
img_23.jpg,9801.500000,490.000000,0.512992
img_23.jpg,17021.000000,682.000000,0.459861
img_23.jpg,11791.250000,488.000000,0.622200
img_23.jpg,8209.250000,728.000000,0.194648
img_23.jpg,17016.000000,682.000000,0.459725
img_23.jpg,8238.500000,726.000000,0.196420
img_23.jpg,11790.250000,488.000000,0.622147
img_23.jpg,9777.625000,482.000000,0.528870
img_23.jpg,8383.250000,710.000000,0.208980
img_23.jpg,9865.000000,486.000000,0.524849
img_23.jpg,16989.500000,708.000000,0.425916
img_23.jpg,11786.375000,488.000000,0.621943
img_23.jpg,9848.750000,484.000000,0.528324
img_23.jpg,8367.250000,734.000000,0.195164
img_23.jpg,14461.250000,606.000000,0.494846
img_23.jpg,14470.750000,602.000000,0.501774
img_24.jpg,11746.125000,486.000000,0.624931
img_24.jpg,11728.125000,486.000000,0.623973
img_25.jpg,11722.875000,484.000000,0.628859
img_25.jpg,11738.500000,488.000000,0.619417
img_25.jpg,11727.125000,486.000000,0.623920
img_25.jpg,11729.875000,484.000000,0.629234
img_26.jpg,9825.375000,488.000000,0.518465
img_26.jpg,9847.500000,482.000000,0.532650
img_26.jpg,9807.250000,480.000000,0.534903
img_26.jpg,9815.375000,488.000000,0.517937
img_27.jpg,9843.500000,482.000000,0.532433
img_27.jpg,9807.250000,480.000000,0.534903
img_27.jpg,9819.375000,488.000000,0.518148
img_28.jpg,9852.625000,510.000000,0.476016
img_28.jpg,9849.125000,514.000000,0.468469
img_28.jpg,9841.250000,514.000000,0.468095
img_28.jpg,9841.250000,514.000000,0.468095
img_28.jpg,9866.500000,516.000000,0.465665
img_29.jpg,8471.875000,458.000000,0.507526
img_29.jpg,8453.875000,458.000000,0.506448
img_3.jpg,10071.375000,830.000000,0.183714
img_3.jpg,10165.750000,828.000000,0.186333
img_30.jpg,22148.125000,774.000000,0.464585
img_4.jpg,11723.875000,484.000000,0.628913
img_4.jpg,11728.125000,486.000000,0.623973
img_4.jpg,11729.875000,484.000000,0.629234
img_5.jpg,9839.250000,514.000000,0.468000
img_5.jpg,9836.250000,514.000000,0.467857
img_5.jpg,9868.375000,516.000000,0.465753
img_6.jpg,9826.375000,488.000000,0.518518
img_6.jpg,9877.500000,490.000000,0.516969
img_6.jpg,9825.750000,492.000000,0.510088
img_6.jpg,9848.500000,482.000000,0.532704
img_6.jpg,9860.500000,482.000000,0.533353
img_7.jpg,8469.375000,462.000000,0.498629
img_7.jpg,8451.875000,458.000000,0.506328
img_7.jpg,8409.750000,448.000000,0.526547
img_8.jpg,36654.500000,1014.000000,0.447983
img_9.jpg,9845.500000,482.000000,0.532542
img_9.jpg,9804.500000,482.000000,0.530324
